年月,総数,中国,香港,台湾,韓国,フィリピン,タイ,シンガポール,マレーシア,インドネシア,インド,ベトナム,英国,ドイツ,フランス,ロシア,イタリア,米国,カナダ,豪州
2008年4月,779909,103013,36400,140833,203812,9419,35476,13487,13074,5647,5783,2993,18952,11533,17419,5912,5285,69186,14580,19130
2008年5月,736122,74637,39104,134862,229043,8380,20309,15699,10508,4045,6923,2625,16002,10673,12864,4848,4059,69105,13010,16412
2008年6月,681563,61355,52012,130285,195661,6149,9929,16635,5875,6679,5586,2631,14236,9109,10352,4906,4010,76691,11846,17949
2008年7月,825012,101192,66038,155231,237947,6283,12124,10391,6747,5662,5376,3048,18618,10067,14616,6434,5193,72992,15716,20652
2008年8月,742022,92976,54047,119255,248154,6227,8379,7785,5189,4282,5632,2897,16274,9470,13637,5924,6963,57121,13156,17231
2008年9月,641235,93921,39251,102304,159523,5935,13355,10970,7770,9634,5535,3545,16499,11174,11506,4874,4736,57851,11515,23689
2008年10月,738832,86570,45546,126308,188804,6493,22602,13849,10378,8410,5541,3061,20803,14763,15773,6484,5879,68058,14201,18200
2008年11月,553491,73131,35787,93540,117518,5885,12184,18358,9291,4389,5637,2693,15897,11460,11214,5838,4600,56044,12752,14334
2008年12月,513354,53599,42480,70967,108002,5845,11969,28208,13126,6173,3951,2467,14835,6909,9259,4431,4254,54938,14546,22114
2009年1月,580673,110262,46555,97026,129756,6655,8724,9058,6195,2968,5325,2405,13598,6503,8154,4688,2711,47306,13520,26919
2009年2月,408628,62981,22116,59248,106929,4057,10563,5055,4390,2496,3941,2516,11305,7787,7606,2687,2546,38837,8848,17101
2009年3月,568586,100951,30519,75391,108350,6345,24025,9557,8993,4419,4633,3611,18837,11881,12193,3891,4496,64921,14444,18096
2009年4月,626313,106816,44968,91268,113313,9276,29049,11964,9161,4646,4764,3059,20204,11046,17919,3578,6067,61708,14618,15929
2009年5月,485713,60530,27769,70297,117897,6743,14046,9339,5563,3504,5618,2402,13286,9076,13041,3666,4808,58595,12184,11995
2009年6月,424427,36597,26199,61144,104237,4822,5952,8767,4604,5230,4455,2225,11376,7529,9103,3800,4197,67762,10523,12778
2009年7月,632722,67944,48951,115734,170240,5193,9631,6839,4907,4719,4889,2511,16174,8653,13779,4327,5346,70373,14100,15211
2009年8月,679586,109017,47134,114751,190987,5804,8085,6922,4977,4024,5189,2874,14943,8594,13917,4042,9683,58044,13429,13358
2009年9月,535544,98697,32657,77471,105470,5036,11863,9336,7761,10638,5502,3403,14418,9696,10159,3637,4901,52322,10869,18833
2009年10月,655481,108301,39823,97996,131195,6138,24619,13592,8459,5587,5274,3397,18288,12646,15256,4500,5764,66577,14504,19907
2009年11月,565089,81462,32125,85335,130371,5551,14298,19871,9718,5484,5133,3330,15264,10446,10219,4469,4261,57866,12375,17289
2009年12月,626896,62527,50752,78631,178027,5865,16686,34924,14781,9902,4195,2488,13767,6835,9905,3667,4827,55608,13342,24243
2010年1月,640346,92120,30522,89849,232053,6532,9881,6577,4689,3735,5758,2737,12261,6899,8218,4119,3528,48643,11132,26904
2010年2月,664982,121494,52235,105416,197784,4505,9944,10791,7943,3363,3999,2652,15630,7293,8700,2450,3332,43645,11484,20631
2010年3月,709684,123314,36366,89524,169295,7907,28340,13469,12130,6381,5310,4606,17809,14141,13265,4478,6235,71553,15125,20473
2010年4月,788212,150788,46598,109680,189582,8575,36817,13817,11482,6774,5557,4000,18419,10196,17451,5021,5536,66879,15332,18383
2010年5月,721348,112558,40864,114168,201484,8546,17014,15041,10252,5109,7942,3086,14969,10944,13699,4238,5138,65559,14394,14621
2010年6月,677064,103706,47490,113900,179088,5394,9967,17644,8295,7941,5813,3485,12071,8550,9686,3750,3955,71781,10378,16171
2010年7月,878582,164944,68846,152925,236092,5238,14208,11556,7960,6179,5395,3283,16233,9844,16202,4934,5748,68051,14468,15563
2010年8月,802725,171503,51526,113438,246882,5517,9857,7239,4996,3720,5401,3421,14880,9789,14446,4375,8279,55449,12291,12858
2010年9月,717756,137333,33767,102811,193975,6133,12777,10929,9033,13681,5392,3761,15545,11534,11475,3994,5065,56599,11570,23500
2010年10月,727278,106237,30423,105678,193829,6797,27812,13459,9233,7010,6603,4226,18505,15302,16580,5426,6638,65989,13281,16659
2010年11月,634818,68385,27432,89412,197244,5894,18894,23611,11055,5615,5357,3772,15068,12463,11121,4976,4702,59083,11575,15173
2010年12月,648380,60493,42622,81477,202508,6339,19370,36827,17451,11124,4292,2833,12655,7405,10168,3696,4238,54003,12273,24815
2011年1月,714099,99131,34410,97115,268368,6612,11412,9034,6789,5014,6056,3151,13323,7705,9330,4063,3726,51706,10847,30689
2011年2月,679393,105362,49311,93446,231640,4643,13597,12474,9133,4109,4693,3371,14119,8564,8999,3259,3450,45135,10326,21467
2011年3月,352676,62450,14116,42095,89121,4532,11718,6290,5483,3863,3475,3220,10127,4950,5798,2091,2310,38934,7852,10853
2011年4月,295826,76164,5774,35800,63790,5706,8001,2360,3462,2874,4715,3787,8010,3268,5472,1646,1274,29788,5292,6490
2011年5月,357783,58608,11584,67958,84014,4989,8457,6999,4139,3550,5140,2636,8629,4391,5864,2049,1543,40770,5779,7406
2011年6月,432883,61419,28522,87693,103817,3993,7507,8947,4683,4855,4522,2706,8487,4921,5954,2023,1721,50648,6134,9362
2011年7月,561489,86963,40524,113460,140053,4805,12180,7870,5730,4594,5092,3029,12519,6460,9072,2916,2535,52127,8010,10108
2011年8月,546503,102640,38436,99126,147030,5364,8631,5502,5219,5317,4485,3586,10800,5681,8033,2582,2538,46823,8035,7631
2011年9月,538727,112493,28507,84756,122436,5222,13701,7671,8540,6520,5944,4156,12121,7775,8376,2765,3347,46903,7434,13222
2011年10月,615701,106174,35468,108403,132259,6153,19517,8787,7042,6305,5388,4770,16802,10529,11256,3657,4113,58632,10877,14823
2011年11月,551571,92154,33711,86207,134009,5293,11488,12552,7724,5481,5543,3810,13208,10129,9046,3768,3804,53055,10247,12056
2011年12月,572101,79688,44502,77915,141536,5787,18760,22868,13572,9429,4301,2826,11954,6399,8238,2974,3674,51366,10466,18471
2012年1月,681786,136665,48455,125783,173000,6924,12092,8981,8876,5130,5598,3600,12654,6351,7686,3172,2762,48268,10860,22192
2012年2月,546451,81966,28743,85874,169025,4409,15345,7720,7354,4570,4808,3556,12294,7689,7791,2751,2736,43637,8797,17890
2012年3月,676662,129302,36690,92057,150291,6928,26313,11605,11748,7597,5604,5016,18993,10963,10636,4099,4886,66010,13596,18911
2012年4月,779481,148793,44216,138735,152323,11059,40821,12806,12222,9594,6087,6512,17345,9605,14457,4695,4599,64208,13517,17465
2012年5月,667046,112152,32491,120992,157141,8414,24016,13090,12731,7108,6797,4159,13424,8568,9976,3177,3935,65195,11871,13137
2012年6月,682932,125983,44208,125702,152131,6263,13608,13216,8445,9451,5620,3529,11396,7528,8667,3888,3330,74049,9522,15714
2012年7月,847194,204270,51482,160344,189701,5991,16347,8390,7905,7779,5643,4580,14575,9355,13477,4419,4273,65750,11153,14033
2012年8月,774239,190254,44341,128673,201764,5871,11812,5870,7734,12500,4876,4098,12192,7645,11358,3976,5343,53180,10434,10864
2012年9月,658239,121673,36355,118115,145742,6714,18775,8017,9442,7996,6335,5610,13742,10027,10863,4876,4285,53692,9859,18920
2012年10月,705848,69713,33828,135164,168150,8292,31701,10264,11335,8704,6725,6278,20080,12891,14467,5612,6080,66556,12517,17890
2012年11月,648548,51993,36215,123299,183557,6775,24239,14792,15170,7678,6112,4717,13953,10995,10777,5306,4780,58238,11454,13968
2012年12月,689679,52336,44641,111015,199950,7397,25571,27450,17221,13353,4709,3501,13346,7281,10257,4205,4792,57926,11775,25420
2013年1月,668610,72301,31237,111345,234456,7501,16101,7109,7609,6672,6313,4998,11558,6720,8340,3771,3142,51261,10045,31669
2013年2月,729460,80903,56539,150273,234390,5049,19890,10134,10982,4936,4886,4352,13044,7815,8445,3126,3134,45488,10599,21271
2013年3月,857024,102265,59405,147438,206946,12177,44848,13409,13401,13341,5845,6781,21832,13193,13062,5862,5705,75506,15132,22557
2013年4月,923017,100160,55040,197932,204229,12943,60212,14583,14716,15530,6481,12136,18547,11434,18856,7283,7083,69565,13966,22747
2013年5月,875408,81571,59182,195715,228670,11256,40263,16334,15013,9944,8374,5527,15265,9995,12917,5124,4853,74045,14058,16050
2013年6月,901066,98996,74711,226974,211465,7441,20502,21735,9802,14804,6984,6344,13697,8926,11399,4126,4628,81290,11528,17509
